Name,ra,dec,mag_nb,mag_err,flux,zp
Target-02,357.6644166666666,-31.790669444444447,24.368775539128443,,,28.85742
Target-08,358.02062499999994,-31.272388888888887,23.594105930470175,,,28.85742
Target-12,358.04766666666666,-31.16939444444445,24.453578127570193,,,28.85742
Target-03,357.3557916666666,-31.776375,24.673130475098898,,,28.85742
Target-04,357.4397083333333,-31.650405555555555,24.636032622765267,,,28.85742
Target-05,357.09262499999994,-31.631644444444444,24.59420588584115,,,28.85742
Target-06,357.0711666666666,-31.50526111111111,23.687956750188313,,,28.85742
Target-07,356.7152083333333,-31.324980555555555,24.320184337424944,,,28.85742
Target-10,357.2879583333333,-31.189911111111112,24.461687626587985,,,28.85742
Target-11,357.15908333333334,-31.173747222222225,24.896034899604985,,,28.85742
Target-09,356.21391666666665,-31.23382777777778,24.16526371708173,,,28.85742
Target-14,358.2086666666666,-30.98973611111111,24.6729480212975,,,28.85742
Target-16,358.16362499999997,-30.864091666666667,24.35921852857421,,,28.85742
Target-17,357.92633333333333,-30.846380555555555,24.951624675676054,,,28.85742
Target-20,357.7373333333333,-30.671375,24.17044735257983,,,28.85742
Target-01,357.1388749999999,-30.902841666666664,20.915857572122498,,,28.85742
Target-13,357.5402916666666,-31.007897222222223,24.96457969860458,,,28.85742
Target-15,356.71804166666664,-30.95195,24.70241022867043,,,28.85742
Target-22,357.05112499999996,-30.54286666666667,24.09077266141036,,,28.85742
Target-18,356.3781666666666,-30.84505555555555,25.058306668197115,,,28.85742
Target-19,356.4106666666666,-30.685063888888887,24.823258918076252,,,28.85742
Target-21,356.5843749999999,-30.667761111111112,24.71507626592831,,,28.85742
Target-23,356.1877916666666,-30.518644444444444,24.680365507347013,,,28.85742
Target-32,357.6133333333333,-30.353719444444447,24.884729255927542,,,28.85742
Target-35,357.5968333333333,-30.179280555555557,25.003378983180333,,,28.85742
Target-36,357.6877916666666,-30.087041666666664,24.510772868279467,,,28.85742
Target-38,357.6522499999999,-30.029663888888887,24.645619594564348,,,28.85742
Target-24,356.90625,-30.474541666666664,24.78516556576546,,,28.85742
Target-26,356.910625,-30.42993055555556,24.72567177903332,,,28.85742
Target-28,357.08758333333327,-30.401163888888888,24.339776409593977,,,28.85742
Target-29,356.83829166666663,-30.38153888888889,24.034822031029872,,,28.85742
Target-31,357.3627083333333,-30.35721666666667,24.449998770984127,,,28.85742
Target-34,357.39437499999997,-30.211247222222223,24.5837801574986,,,28.85742
Target-37,357.43116666666657,-30.05035,24.438934145809423,,,28.85742
Target-39,357.1815833333333,-29.887205555555553,24.89014178656511,,,28.85742
Target-25,356.1318333333333,-30.459941666666666,24.48579644102131,,,28.85742
Target-27,356.1537916666667,-30.417897222222223,23.981774668786155,,,28.85742
Target-30,356.61366666666663,-30.364325,24.76028102090256,,,28.85742
Target-33,356.2621249999999,-30.209130555555554,24.964110655805243,,,28.85742
