Name,ra_deg,dec_deg,z
QSO,357.1388749999999,-30.902841666666664,22.475435068933123
LAE-1,357.6644166666666,-31.790669444444447,25.190915373887343
LAE-2,357.3557916666666,-31.776374999999998,26.311236420998476
LAE-3,357.4397083333333,-31.650405555555555,26.17894863344615
LAE-4,357.09262499999994,-31.631644444444444,26.747285224424505
LAE-5,357.0711666666666,-31.50526111111111,26.09239120809145
LAE-6,356.7152083333333,-31.324980555555555,25.81509206887362
LAE-7,358.02062499999994,-31.272388888888887,25.71948774915274
LAE-8,356.21391666666665,-31.23382777777778,26.208246519490935
LAE-9,357.2879583333333,-31.189911111111112,26.16126034088858
LAE-10,357.15908333333334,-31.173747222222225,26.42552697726301
LAE-11,358.04766666666666,-31.169394444444446,25.86660249582095
LAE-12,357.5402916666666,-31.007897222222223,25.8324947698802
LAE-13,358.2086666666666,-30.989736111111114,26.163009282712157
LAE-14,356.71804166666664,-30.95195,26.60659229296025
LAE-15,358.16362499999997,-30.864091666666667,25.934842609294517
LAE-16,357.92633333333333,-30.846380555555555,25.74806463641732
LAE-17,356.3781666666666,-30.845055555555554,26.64344015495068
LAE-18,356.4106666666666,-30.685063888888887,25.816874712683237
LAE-19,357.7373333333333,-30.671375,26.31692451820103
LAE-20,356.5843749999999,-30.667761111111112,25.43413155580612
LAE-21,357.05112499999996,-30.54286666666667,26.306814031474612
LAE-22,356.1877916666666,-30.518644444444444,26.220444773296524
LAE-23,356.90625,-30.474541666666664,25.94281739607799
LAE-24,356.1318333333333,-30.459941666666666,25.813684359890495
LAE-25,356.910625,-30.429930555555558,25.59049935677644
LAE-26,356.1537916666667,-30.417897222222223,26.386255733188325
LAE-27,357.08758333333327,-30.401163888888888,25.920674203792064
LAE-28,356.83829166666663,-30.38153888888889,25.73805078216295
LAE-29,356.61366666666663,-30.364325,25.966714951930385
LAE-30,357.3627083333333,-30.35721666666667,25.872427024897075
LAE-31,357.6133333333333,-30.353719444444447,26.003951437055587
LAE-32,356.2621249999999,-30.209130555555554,26.60992263287279
LAE-33,357.39437499999997,-30.211247222222223,26.32406898371921
LAE-34,357.5968333333333,-30.179280555555557,26.04606716243143
LAE-35,357.6877916666666,-30.087041666666664,25.640929565994664
LAE-36,357.43116666666657,-30.05035,26.10346408487704
LAE-37,357.6522499999999,-30.029663888888887,25.818863316938497
LAE-38,357.1815833333333,-29.887205555555553,26.180872883288856
