filename,target,RA,Dec,x_pix,y_pix,flux_counts,flux_per_sec,mag,EXPTIME,ZP
Fitz_tile1.fits,Target-2,357.6644166666666,-31.790669444444447,8881.20955286763,567.0048502192494,46.69987735056782,,,,
Fitz_tile1.fits,Target-8,358.02062499999994,-31.272388888888887,4791.826214419863,7454.005020078284,19.9689787911047,,,,
Fitz_tile1.fits,Target-12,358.04766666666666,-31.169394444444446,4472.987723029324,8824.98758693006,44.40587055018149,,,,
Fitz_tile2.fits,Target-3,357.3557916666666,-31.776374999999998,2512.9545847365507,767.9908449946288,-3.8943858012140735,,,,
Fitz_tile2.fits,Target-4,357.4397083333333,-31.650405555555555,1557.8844716135577,2445.990101077604,63.407443389375835,,,,
Fitz_tile2.fits,Target-5,357.09262499999994,-31.631644444444444,5497.8030484919045,2698.9865284559555,-12.694260913619061,,,,
Fitz_tile2.fits,Target-6,357.0711666666666,-31.50526111111111,5743.194193905969,4384.0071056744555,45.46901806192635,,,,
Fitz_tile2.fits,Target-7,356.7152083333333,-31.324980555555555,9800.125204818783,6777.00961917134,29.72629432869732,,,,
Fitz_tile2.fits,Target-10,357.2879583333333,-31.189911111111112,3274.8633308342078,8588.998832028508,24.189875185317494,,,,
Fitz_tile2.fits,Target-11,357.15908333333334,-31.173747222222225,4744.882849171851,8804.990649073503,5.641210382530516,,,,
Fitz_tile3.fits,Target-9,356.21391666666665,-31.23382777777778,5655.011684631696,7954.9987675876655,45.95626118263836,,,,
Fitz_tile4.fits,Target-14,358.2086666666666,-30.989736111111114,2613.903004980768,2210.0110678631463,14.038407180284551,,,,
Fitz_tile4.fits,Target-16,358.16362499999997,-30.864091666666667,3114.1179975025534,3890.0103059816597,46.892951249471984,,,,
Fitz_tile4.fits,Target-17,357.92633333333333,-30.846380555555555,5828.770081610543,4147.011791634282,9.951651790832672,,,,
Fitz_tile4.fits,Target-20,357.7373333333333,-30.671375,7980.945666858145,6492.994119247319,-22.620410919015494,,,,
Fitz_tile5.fits,Target-1,357.1388749999999,-30.902841666666664,4977.017504419583,3421.9908030321185,-5.450981139109572,,,,
Fitz_tile5.fits,Target-13,357.5402916666666,-31.007897222222223,388.997074959143,2014.9941785033093,14.160622112267987,,,,
Fitz_tile5.fits,Target-15,356.71804166666664,-30.95195,9788.888964732265,2755.9989862341226,4.291826853100498,,,,
Fitz_tile5.fits,Target-22,357.05112499999996,-30.54286666666667,5986.840575817738,8220.989169086282,27.783095949808427,,,,
Fitz_tile6.fits,Target-18,356.3781666666666,-30.845055555555554,3819.933225805309,4159.009027029625,-22.111304269207064,,,,
Fitz_tile6.fits,Target-19,356.4106666666666,-30.685063888888887,3462.771504124783,6295.016598627876,-50.13886284534556,,,,
Fitz_tile6.fits,Target-21,356.5843749999999,-30.667761111111112,1471.989204389829,6537.986662960615,35.159603952911944,,,,
Fitz_tile6.fits,Target-23,356.1877916666666,-30.518644444444444,6038.761967772776,8494.000213410856,13.922417414535255,,,,
Fitz_tile7.fits,Target-32,357.6133333333333,-30.353719444444447,9386.867675132024,1739.99633171011,24.89479672327947,,,,
Fitz_tile7.fits,Target-35,357.5968333333333,-30.179280555555557,9568.171100744516,4066.999962541977,-4.6364432944505545,,,,
Fitz_tile7.fits,Target-36,357.6877916666666,-30.087041666666664,8514.085524765236,5293.002153092821,33.71051551647662,,,,
Fitz_tile7.fits,Target-38,357.6522499999999,-30.029663888888887,8921.001973958788,6060.0055281603,18.215850005568708,,,,
